Freq.	V(n001)
9.80000000000000e+08	-3.51937226999762e-05,-1.12527121664462e-03
9.85000000000000e+08	-1.55343108926854e-04,-6.07633949670142e-04
9.90000000000000e+08	-1.53845004626405e-04,-6.03968571541650e-04
9.95000000000000e+08	-1.52199037853395e-04,-6.00031244214576e-04
1.00000000000000e+09	-1.50217590571724e-04,-5.95807115551199e-04
1.00500000000000e+09	-1.47683807623735e-04,-5.91406518521940e-04
1.01000000000000e+09	-1.44377438742332e-04,-5.87143347151837e-04
1.01500000000000e+09	-1.40498932425134e-04,-5.83512337783742e-04
1.02000000000000e+09	-1.37172595074582e-04,-5.79915029954104e-04
1.02500000000000e+09	-1.36408920795726e-04,-5.62811714949336e-04
1.03000000000000e+09	-1.32434469111597e-04,-5.94996206298773e-04
1.03500000000000e+09	-1.32473310038854e-04,-5.86842259243230e-04
1.04000000000000e+09	-1.32188184700766e-04,-5.83103747576984e-04
1.04500000000000e+09	-1.31764793676769e-04,-5.79939483164916e-04
1.05000000000000e+09	-1.31270610054315e-04,-5.76912253292939e-04
1.05500000000000e+09	-1.30798026558202e-04,-5.73918248730267e-04
1.06000000000000e+09	-1.30489959518517e-04,-5.70879851581490e-04
1.06500000000000e+09	-1.30781727635032e-04,-5.67689201494735e-04
1.07000000000000e+09	-1.34757104057652e-04,-5.63713686705035e-04
1.07500000000000e+09	-1.08531654302400e-04,-5.66641931700336e-04
1.08000000000000e+09	-1.20042758061808e-04,-5.61049153133553e-04
1.08500000000000e+09	-1.20761974444590e-04,-5.57906178574626e-04
1.09000000000000e+09	-1.20365731374806e-04,-5.55044280020015e-04
1.09500000000000e+09	-1.19639052370749e-04,-5.52290317528034e-04
1.10000000000000e+09	-1.18779940722992e-04,-5.49607707010850e-04
1.10500000000000e+09	-1.17858210658352e-04,-5.46940064166553e-04
1.11000000000000e+09	-1.16872727319266e-04,-5.44275029032253e-04
1.11500000000000e+09	-1.15808230626381e-04,-5.41640316319695e-04
1.12000000000000e+09	-1.08004339766276e-04,-5.38395160224573e-04
1.12500000000000e+09	-1.13588079081869e-04,-5.36599479065040e-04
1.13000000000000e+09	-1.12538111614681e-04,-5.34175803639473e-04
1.13500000000000e+09	-1.11541364845859e-04,-5.31767985291105e-04
1.14000000000000e+09	-1.10598018622267e-04,-5.29319391688578e-04
1.14500000000000e+09	-1.09696960558830e-04,-5.26852849134815e-04
1.15000000000000e+09	-1.08865982905118e-04,-5.24350300336937e-04
1.15500000000000e+09	-1.08194939470172e-04,-5.21776090464478e-04
1.16000000000000e+09	-1.08147200210673e-04,-5.19004314238901e-04
1.16500000000000e+09	-1.14224820361793e-04,-5.14500999299151e-04
1.17000000000000e+09	-9.85292463875428e-05,-5.15729277224982e-04
1.17500000000000e+09	-9.99087960177747e-05,-5.12278155671067e-04
1.18000000000000e+09	-9.88607414248786e-05,-5.09523963750494e-04
1.18500000000000e+09	-9.72558876236923e-05,-5.07047195714534e-04
1.19000000000000e+09	-9.53597838082314e-05,-5.04708154887203e-04
1.19500000000000e+09	-9.31264007634448e-05,-5.02370842545061e-04
1.20000000000000e+09	-9.02198872117525e-05,-4.99889684055949e-04
1.20500000000000e+09	-8.55943016562836e-05,-4.96841386481035e-04
1.21000000000000e+09	-7.22100446683012e-05,-4.89709671740133e-04
1.21500000000000e+09	-1.28373867934899e-04,-5.19669338101655e-04
1.22000000000000e+09	-9.87468096945347e-05,-5.04792285899991e-04
1.22500000000000e+09	-9.52116027668686e-05,-5.02720982320092e-04
1.23000000000000e+09	-9.49378025663862e-05,-5.00779593418966e-04
1.23500000000000e+09	-9.51280597203916e-05,-4.98083718437374e-04
1.24000000000000e+09	-9.49181320810330e-05,-4.95048395958283e-04
1.24500000000000e+09	-9.42271976036828e-05,-4.92124962899172e-04
1.25000000000000e+09	-9.32228862885768e-05,-4.89515004117409e-04
1.25500000000000e+09	-9.21468948275783e-05,-4.87276786699395e-04
1.26000000000000e+09	-2.09735733982221e-04,-1.31508768791184e-04
1.26500000000000e+09	-9.00653823788210e-05,-4.83546795056537e-04
1.27000000000000e+09	-8.90833013982192e-05,-4.82053975272457e-04
1.27500000000000e+09	-8.82407354573803e-05,-4.80863604137841e-04
1.28000000000000e+09	-8.76813947198607e-05,-4.79981747808537e-04
1.28500000000000e+09	-8.75350829062160e-05,-4.79339254938988e-04
1.29000000000000e+09	-8.79283751947703e-05,-4.78807557731354e-04
1.29500000000000e+09	-8.87212641441234e-05,-4.78260163508972e-04
1.30000000000000e+09	-8.90452856620708e-05,-4.78881766910256e-04
1.30500000000000e+09	-8.60026828916462e-05,-5.00495885244345e-04
1.31000000000000e+09	-9.09047736512381e-05,-4.47152878262022e-04
1.31500000000000e+09	-8.84240339604671e-05,-4.54426567865732e-04
1.32000000000000e+09	-8.67336826288261e-05,-4.54613462789634e-04
1.32500000000000e+09	-8.52505282645531e-05,-4.53704671406253e-04
1.33000000000000e+09	-8.38568608804550e-05,-4.52477522182323e-04
1.33500000000000e+09	-8.24517324229766e-05,-4.51145482764559e-04
1.34000000000000e+09	-8.09220750937870e-05,-4.49819550488682e-04
1.34500000000000e+09	-7.88884359557166e-05,-4.48533184140938e-04
1.35000000000000e+09	-7.34861546975053e-05,-4.47286738972428e-04
1.35500000000000e+09	-9.63629842872957e-05,-4.45034210416389e-04
1.36000000000000e+09	-8.39577497568705e-05,-4.43870311290261e-04
1.36500000000000e+09	-8.16343049003203e-05,-4.42375646805000e-04
1.37000000000000e+09	-8.03398840573250e-05,-4.40840700540431e-04
1.37500000000000e+09	-7.93578422033606e-05,-4.39298244328164e-04
1.38000000000000e+09	-7.85095847840014e-05,-4.37748925073880e-04
1.38500000000000e+09	-7.77253753754694e-05,-4.36231688719732e-04
1.39000000000000e+09	-7.70106033449606e-05,-4.34754783293256e-04
1.39500000000000e+09	-7.63727105281653e-05,-4.33296418119609e-04
1.40000000000000e+09	-7.85972651236996e-05,-4.33040903419095e-04
1.40500000000000e+09	-7.52353574372603e-05,-4.30317105169532e-04
1.41000000000000e+09	-7.46570062335811e-05,-4.28806310138857e-04
1.41500000000000e+09	-7.40615823528273e-05,-4.27313012811032e-04
1.42000000000000e+09	-7.34503012293425e-05,-4.25876742730868e-04
1.42500000000000e+09	-7.28259550002085e-05,-4.24476505187004e-04
1.43000000000000e+09	-7.21661244696964e-05,-4.23127863339288e-04
1.43500000000000e+09	-7.14018863237298e-05,-4.21863691169110e-04
1.44000000000000e+09	-7.02073034186407e-05,-4.20812778160607e-04
1.44500000000000e+09	-6.47728180982106e-05,-4.21327102814856e-04
1.45000000000000e+09	-7.44927110589134e-05,-4.16815144471649e-04
1.45500000000000e+09	-7.24100377875698e-05,-4.16480008072123e-04
1.46000000000000e+09	-7.20748034892682e-05,-4.15564508685112e-04
1.46500000000000e+09	-7.21619114766905e-05,-4.14443546818606e-04
1.47000000000000e+09	-7.24828267303403e-05,-4.13243116362974e-04
1.47500000000000e+09	-7.30851116272298e-05,-4.12102393312236e-04
1.48000000000000e+09	-7.42864941128987e-05,-4.11170905599163e-04
1.48500000000000e+09	-7.70309866053775e-05,-4.10864061395665e-04
1.49000000000000e+09	-8.77160183105662e-05,-4.14500186608848e-04
1.49500000000000e+09	-3.56017386191971e-05,-3.83903681649450e-04
1.50000000000000e+09	-6.13337980296443e-05,-3.95076985911261e-04
1.50500000000000e+09	-6.37984781130101e-05,-3.94264328922319e-04
1.51000000000000e+09	-6.34536478290229e-05,-3.93000561381127e-04
1.51500000000000e+09	-6.25746441349653e-05,-3.92165247469664e-04
1.52000000000000e+09	-6.18699686171796e-05,-3.91569700584200e-04
1.52500000000000e+09	-6.14687897261408e-05,-3.90922178943040e-04
1.53000000000000e+09	-6.12861708747881e-05,-3.90082139349426e-04
1.53500000000000e+09	-6.11592839027498e-05,-3.88995629481117e-04
1.54000000000000e+09	4.36565260148967e-05,-5.97835150601086e-04
1.54500000000000e+09	-6.09544257605706e-05,-3.86368244391548e-04
1.55000000000000e+09	-6.08918484909758e-05,-3.84759099229158e-04
1.55500000000000e+09	-6.07576305544017e-05,-3.82873307009994e-04
1.56000000000000e+09	-6.04232876215687e-05,-3.80715309352842e-04
1.56500000000000e+09	-5.98407508165124e-05,-3.78321433191224e-04
1.57000000000000e+09	-5.89840734469909e-05,-3.75670178264476e-04
1.57500000000000e+09	-5.79936646170319e-05,-3.72557351413148e-04
1.58000000000000e+09	-5.76696363213460e-05,-3.67233804597668e-04
1.58500000000000e+09	-6.35986816754876e-05,-3.33915488805861e-04
1.59000000000000e+09	-4.99670100789643e-05,-3.99809506478835e-04
1.59500000000000e+09	-5.26915850045625e-05,-3.86009213654832e-04
1.60000000000000e+09	-5.34960297119916e-05,-3.81877872872298e-04
1.60500000000000e+09	-5.39254178852173e-05,-3.79398685815956e-04
1.61000000000000e+09	-5.42391355298108e-05,-3.77468080162726e-04
1.61500000000000e+09	-5.45499088754153e-05,-3.75765315301172e-04
1.62000000000000e+09	-5.49337583714638e-05,-3.74147614963081e-04
1.62500000000000e+09	-5.56355720213355e-05,-3.72656980021903e-04
1.63000000000000e+09	-5.87616015186119e-05,-3.71946059605002e-04
1.63500000000000e+09	-4.08180707851894e-05,-3.66176120665901e-04
1.64000000000000e+09	-4.91408107570114e-05,-3.67078542028757e-04
1.64500000000000e+09	-5.00026766570167e-05,-3.66170918472674e-04
1.65000000000000e+09	-5.01289221626692e-05,-3.65117262950738e-04
1.65500000000000e+09	-5.00499421500948e-05,-3.64025034226765e-04
1.66000000000000e+09	-4.98894156233784e-05,-3.62932613965066e-04
1.66500000000000e+09	-4.96999046984926e-05,-3.61826665583333e-04
1.67000000000000e+09	-4.94810735427495e-05,-3.60698414072520e-04
1.67500000000000e+09	-4.92319458818663e-05,-3.59561316863143e-04
1.68000000000000e+09	-4.88030959090468e-05,-3.56510514343744e-04
1.68500000000000e+09	-4.86631941760561e-05,-3.57326065300117e-04
1.69000000000000e+09	-4.83896314306916e-05,-3.56225484091113e-04
1.69500000000000e+09	-4.81227214073172e-05,-3.55125085139301e-04
1.70000000000000e+09	-4.78664294061859e-05,-3.53997320811927e-04
1.70500000000000e+09	-4.76218865006343e-05,-3.52863937416829e-04
1.71000000000000e+09	-4.74034504809235e-05,-3.51707891812062e-04
1.71500000000000e+09	-4.72548975084161e-05,-3.50505620510445e-04
1.72000000000000e+09	-4.73759683827425e-05,-3.49140408071921e-04
1.72500000000000e+09	-4.99680247982801e-05,-3.46557767748046e-04
1.73000000000000e+09	-4.37113465842650e-05,-3.47907290695866e-04
1.73500000000000e+09	-4.42893728501479e-05,-3.45995300852786e-04
1.74000000000000e+09	-4.37986484976790e-05,-3.44550770967871e-04
1.74500000000000e+09	-4.30430463050439e-05,-3.43276515069094e-04
1.75000000000000e+09	-4.21356010818842e-05,-3.42065887035455e-04
1.75500000000000e+09	-4.10236032179908e-05,-3.40793940478934e-04
1.76000000000000e+09	-3.94309937307133e-05,-3.39311517807686e-04
1.76500000000000e+09	-3.65489502172322e-05,-3.37239622642415e-04
1.77000000000000e+09	-2.68915977587629e-05,-3.31604846704203e-04
1.77500000000000e+09	-7.08235352628229e-05,-3.56043013393579e-04
1.78000000000000e+09	-4.80823508005999e-05,-3.43552158944625e-04
1.78500000000000e+09	-4.49776682033205e-05,-3.41729793993357e-04
1.79000000000000e+09	-4.41753554189201e-05,-3.40588597025717e-04
1.79500000000000e+09	-4.39300872290137e-05,-3.39310409668188e-04
1.80000000000000e+09	-4.36907365402030e-05,-3.37915732497788e-04
1.80500000000000e+09	-4.33120342037981e-05,-3.36560905927561e-04
1.81000000000000e+09	-4.28114792555156e-05,-3.35327064639810e-04
1.81500000000000e+09	-4.22838706829472e-05,-3.34260903361531e-04
1.82000000000000e+09	-1.25490867978066e-04,-2.35908762175675e-04
1.82500000000000e+09	-4.11129453710070e-05,-3.32434357397589e-04
1.83000000000000e+09	-4.04148405189396e-05,-3.31800749855448e-04
1.83500000000000e+09	-3.97464684353655e-05,-3.31458932696258e-04
1.84000000000000e+09	-3.92258912749589e-05,-3.31403826236788e-04
1.84500000000000e+09	-3.88383215620472e-05,-3.31605887716591e-04
1.85000000000000e+09	-3.85219194882841e-05,-3.32192434089830e-04
1.85500000000000e+09	-3.80989163459109e-05,-3.33610217396952e-04
1.86000000000000e+09	-3.66975811533637e-05,-3.38015424651030e-04
1.86500000000000e+09	-2.52538721229895e-05,-3.75324055066140e-04
1.87000000000000e+09	-4.78632437880816e-05,-2.96633094542104e-04
1.87500000000000e+09	-4.28128874163097e-05,-3.10869463985367e-04
1.88000000000000e+09	-4.11262353678520e-05,-3.13655510042390e-04
1.88500000000000e+09	-4.00601115738924e-05,-3.14417415632694e-04
1.89000000000000e+09	-3.91845936080351e-05,-3.14489643643803e-04
1.89500000000000e+09	-3.83626288894329e-05,-3.14271845438687e-04
1.90000000000000e+09	-3.75609530336040e-05,-3.13930186051936e-04
1.90500000000000e+09	-3.66993284315715e-05,-3.13362686585328e-04
1.91000000000000e+09	-3.47126098882666e-05,-3.11387101438582e-04
1.91500000000000e+09	-4.38516908559955e-05,-3.19454538697373e-04
1.92000000000000e+09	-3.92033958608350e-05,-3.14547386499001e-04
1.92500000000000e+09	-3.84401726443950e-05,-3.13220096457016e-04
1.93000000000000e+09	-3.80441372726984e-05,-3.12222679459520e-04
1.93500000000000e+09	-3.77395043855961e-05,-3.11324977096234e-04
1.94000000000000e+09	-3.74720706510213e-05,-3.10454548857915e-04
1.94500000000000e+09	-3.72088823435248e-05,-3.09605087880539e-04
1.95000000000000e+09	-3.69469833273309e-05,-3.08782207458345e-04
1.95500000000000e+09	-3.66822877825566e-05,-3.07979814918596e-04
1.96000000000000e+09	-3.51075740170512e-05,-3.09800158161325e-04
1.96500000000000e+09	-3.61780086463248e-05,-3.06436914720912e-04
1.97000000000000e+09	-3.59282264329131e-05,-3.05688461615325e-04
1.97500000000000e+09	-3.56894398428688e-05,-3.04954026424090e-04
1.98000000000000e+09	-3.54562767005079e-05,-3.04244963935309e-04
1.98500000000000e+09	-3.52216333162585e-05,-3.03542509299377e-04
1.99000000000000e+09	-3.49778070134780e-05,-3.02861494272819e-04
